タイトル,URL
【花】ヤツハステークス【魂】,http://pentarte.blog.jp/archives/29289700.html
【ふるよに】デッキ辞書一覧ページ,https://hikari-fryn.blogspot.com/2022/06/blog-post.html
デッキ紹介⑩〜金兜（ハガネA/ミズキ）,https://izu24furuyoni.hatenablog.com/entry/2022/06/19/134419
いまさら刀薙解説,https://hirusukasugai.hatenablog.com/entry/2022/06/15/040043
【ふるよに】タラレバの気になるあのミコト！　第三回,https://www.youtube.com/watch?v=42eZbKFFFYA
【ふるよに】チカゲ英雄戦突破報告【メガミに挑戦！】,https://yura-minori.hatenablog.com/entry/2022/05/30/162234
（個人的に）この二柱がアツい！心旗（ユリナA2/ホノカ）,https://zico-furuyoni.hatenablog.com/entry/2022/05/19/183531
デッキ紹介⑨〜機器兜（クルルA/ミズキ）,https://izu24furuyoni.hatenablog.com/entry/2022/05/17/165117
【S7-2扇友/笛友】再び三たび咲き誇れ！こねりげ久遠で0-10 -/3デッキ,https://hikari-fryn.blogspot.com/2022/04/s7-20-10-3.html
【S7-2友X】こねりげにふさわしい相方は何か [後編]　〜ぼくがかんがえたともだちらんきんぐ〜,https://hikari-fryn.blogspot.com/2022/04/s7-2x.html
【S7-2友X】こねりげにふさわしい相方は何か [前編]　〜ボクのBEST FRIEND探しの旅〜,https://hikari-fryn.blogspot.com/2022/04/s7-2x-best-friend.html
【ふるよに】タラレバの気になるあのミコト！　第二回,https://www.youtube.com/watch?v=X_Pjo9JbgdQ
【ふるよに】シーズン7－2直前！　修正内容速報配信,https://www.youtube.com/watch?v=Vwi7xqYL-1k
ふるよにS7-2アッパー更新カードレビュー,https://blog.rhymof.net/202204/furuyoni_S7-2_review/
【ふるよに】S7-2カード更新で思ったことメモ,https://hikari-fryn.blogspot.com/2022/04/s7-2.html
シーズン7-2カード更新雑感,https://aquaharuka.hatenablog.com/entry/2022/04/22/135643
