タイトル,URL
ふるよに構築済みデッキ集～相手を見てから構築3秒～,https://eriran.hatenablog.com/entry/2021/12/14/210000
ふるよに特殊ルール大会の開き方,https://e-lno.hatenablog.com/entry/2021/12/14/011942
シンラちゃんといっしょにとれーにんぐ！ 第1幕「勝つデッキってどうやって組むの？」 - ふるよに Advent Calendar 2021 12/13,https://3422project.hateblo.jp/entry/2021/12/13/233041
拾壱枚目ここにあり：円月,https://hidluck.hatenablog.jp/entry/2021/12/11/000846
ふるよに初心者・中級者と上級者の違い(見えない情報の予測),https://note.com/kalpoke/n/n63d0fba660d9
デッキ紹介⑤〜恐兜,https://izu24furuyoni.hatenablog.com/entry/2021/12/09/013818
【ふるよに】目覚めし花のアラカルト,https://thtfuruyoni.hatenadiary.jp/entry/2021/12/07/014404
かがみフレンズ,http://blackscarecrow.sakura.ne.jp/blog/2021/12/07/post-552/
桜降る世の昔語り～二幕の歴史編～,https://master-horiemon.hatenadiary.jp/entry/2021/12/06/002733
いかにしてマイオナを脱するか　好きなメガミで勝つための調整法,https://note.com/akasakisakura/n/n470e08dbe475
刀社嵐の亡霊が教える！今日から使えるひらりおり！ -ひらりおりで相手のテンポを破壊するには-,https://maxc5297.hatenablog.com/entry/2021/12/04/100059
[投票求む！]ふるよに神7・十傑決定戦2021,https://yuukiboardgame.blogspot.com/2021/12/72021.html
カムヰ様の禁忌ゲージ理論,https://sundaydaily.hatenadiary.com/entry/2021/12/02/235841
ふるよに Advent Calendar 2021 ハブ - ふるよに Advent Calendar 2021 12/1,https://3422project.hateblo.jp/entry/2021/12/01/004025
【ふるよに】新メガミ紹介「レンリ」【第六拡張】,https://youtu.be/vIpgAL-YnrY
【ふるよに】新メガミ紹介「カムヰ」【第六拡張】,https://youtu.be/iPf51xh1JFo
